"text", "translation"
"報酬獲得量UP","Reward Amount UP"
"挑戦回数UP","Challenge Count UP"
"TVアニメ第2期最終回応援ミッション","TV Anime Season 2 Final Episode Support Missions"
"リリース記念ミッション 第1弾","Release Missions #1"
"リリース記念ミッション 第2弾","Release Missions #2"
"春のG1記念ミッション第2弾(NHKマイル)","Spring G1 Missions #2 (NHK Mile)"
"春のG1記念ミッション 第1弾(桜花賞)","Spring G1 Missions #1 (Oka Sho)"
"春のG1記念ミッション 第1弾(皐月賞)","Spring G1 Missions #1 (Satsuki Sho)"
"ゴルシちゃんのGW特別ミッション","Golshi-chan's GW Special Missions"
"春のG1記念ミッション 第1弾(天皇賞（春）)","Spring G1 Missions #1 (Tenno Sho (Spring))"
"レンタル回数UP","Rental Amount UP"
"春のG1記念ミッション 第2弾(ヴィクトリアマイル)","Spring G1 Missions #2 (Victoria Mile)"
"春のG1記念ミッション 第2弾(オークス)","Spring G1 Missions #2 (Oaks)"
"春のG1記念ミッション 第2弾(日本ダービー)","Spring G1 Missions #2 (Japan Derby)"
"春のGⅠ記念ミッション 第2弾\n安田記念","Spring G1 Missions #2\nYasuda Kinen"
"春のGⅠ記念ミッション 第2弾\n宝塚記念","Spring G1 Missions #2\nTakarazuka Kinen"
"トレセン学園特別\n名トレーナーへの道！","Tracen Academy Special\nMaster Trainer's Road!"
"ゴルシちゃんモード","Golshi-chan Mode"
"ショータイムモード","Showtime Mode"
"メインストーリー第4章\n公開記念ミッション","Main Story Chapter 4\nRelease Missions"
"特定レース報酬ピース追加","Designated Race\nPiece Rewards"
"Half Anniversary記念ミッション\n第1弾","Half Anniversary Missions\nPart 1"
"Half Anniversary記念ミッション\n第2弾","Half Anniversary Missions\nPart 2"
"Half Anniversary記念ミッション\n第3弾","Half Anniversary Missions\nPart 3"
"秋のGⅠ記念ミッション 第1弾\nスプリンターズS","Fall G1 Missions #1\nSprinters S"
"秋のGⅠ記念ミッション 第2弾\n秋華賞","Fall G1 Missions #2\nShuuka Sho"
"秋のGⅠ記念ミッション 第2弾\n菊花賞","Fall G1 Missions #2\nKikka Sho"
"秋のGⅠ記念ミッション 第2弾\n天皇賞（秋）","Fall G1 Missions #2\nTenno Sho (Autumn)"
"秋のGⅠ記念ミッション 第3弾\nエリザベス女王杯","Fall G1 Missions #3\nQueen Elizabeth Cup"
"秋のGⅠ記念ミッション 第3弾\nマイルCS","Fall G1 Missions #3\nMile CS"
"秋のGⅠ記念ミッション 第3弾\nジャパンC","Fall G1 Missions #3\Japan C"
"秋のGⅠ記念ミッション 第3弾\nチャンピオンズC","Fall G1 Missions #3\nChampions C"
"秋のGⅠ記念ミッション 第3弾\n阪神ジュベナイルF","Fall G1 Missions #3\nHanshin Juvenile Fillies"
"秋のGⅠ記念ミッション 第3弾\n朝日杯FS","Fall G1 Missions #3\nAsahi Hai FS"
"秋のGⅠ記念ミッション 第3弾\n有馬記念","Fall G1 Missions #3\nArima Kinen"
"秋のGⅠ記念ミッション 第3弾\nホープフルS","Fall G1 Missions #3\nHopeful S"
"トレセン学園特別\n名トレーナーへの道！第2弾","Tracen Academy Special\nMaster Trainer's Road! #2"
