"text", "translation"
"報酬獲得量UP","Increased Rewards"
"挑戦回数UP","Increased Attempts"
"TVアニメ第2期最終回応援ミッション","TV Anime Season 2 Final Episode Support Missions"
"リリース記念ミッション 第1弾","Release Missions #1"
"リリース記念ミッション 第2弾","Release Missions #2"
"春のG1記念ミッション第2弾(NHKマイル)","Spring G1 Missions #2 NHK Mile"
"春のG1記念ミッション 第1弾(桜花賞)","Spring G1 Missions #1 Oka Sho"
"春のG1記念ミッション 第1弾(皐月賞)","Spring G1 Missions #1 Satsuki Sho"
"ゴルシちゃんのGW特別ミッション","Golshi-chan's GW Special Missions"
"春のG1記念ミッション 第1弾(天皇賞（春）)","Spring G1 Missions #1 Tenno Sho (Spring)"
"レンタル回数UP","Rental Amount UP"
"春のG1記念ミッション 第2弾(ヴィクトリアマイル)","Spring G1 Missions #2 Victoria Mile"
"春のG1記念ミッション 第2弾(オークス)","Spring G1 Missions #2 Oaks"
"春のG1記念ミッション 第2弾(日本ダービー)","Spring G1 Missions #2 Japan Derby"
"春のGⅠ記念ミッション 第2弾\\n安田記念","Spring G1 Missions #2 Yasuda Kinen"
"春のGⅠ記念ミッション 第2弾\\n宝塚記念","Spring G1 Missions #2 Takarazuka Kinen"
"トレセン学園特別\\n名トレーナーへの道！","Tracen Academy Special Master Trainer's Road!"
"ゴルシちゃんモード","Golshi-chan Mode"
"ショータイムモード","Showtime Mode"
"メインストーリー第4章\\n公開記念ミッション","Main Story Chapter 4 Release Missions"
"特定レース報酬ピース追加","Designated Race Piece Rewards"
"Half Anniversary記念ミッション\\n第1弾","Half Anniversary Missions Part 1"
"Half Anniversary記念ミッション\\n第2弾","Half Anniversary Missions Part 2"
"Half Anniversary記念ミッション\\n第3弾","Half Anniversary Missions Part 3"
"秋のGⅠ記念ミッション 第1弾\\nスプリンターズS","Fall G1 Missions #1 Sprinters S"
"秋のGⅠ記念ミッション 第2弾\\n秋華賞","Fall G1 Missions #2 Shuuka Sho"
"秋のGⅠ記念ミッション 第2弾\\n菊花賞","Fall G1 Missions #2 Kikka Sho"
"秋のGⅠ記念ミッション 第2弾\\n天皇賞（秋）","Fall G1 Missions #2 Tenno Sho (Autumn)"
"秋のGⅠ記念ミッション 第3弾\\nエリザベス女王杯","Fall G1 Missions #3 Queen Elizabeth Cup"
"秋のGⅠ記念ミッション 第3弾\\nマイルCS","Fall G1 Missions #3 Mile CS"
"秋のGⅠ記念ミッション 第3弾\\nジャパンC","Fall G1 Missions #3\\Japan C"
"秋のGⅠ記念ミッション 第3弾\\nチャンピオンズC","Fall G1 Missions #3 Champions C"
"秋のGⅠ記念ミッション 第3弾\\n阪神ジュベナイルF","Fall G1 Missions #3 Hanshin Juvenile Fillies"
"秋のGⅠ記念ミッション 第3弾\\n朝日杯FS","Fall G1 Missions #3 Asahi Hai FS"
"秋のGⅠ記念ミッション 第3弾\\n有馬記念","Fall G1 Missions #3 Arima Kinen"
"秋のGⅠ記念ミッション 第3弾\\nホープフルS","Fall G1 Missions #3 Hopeful S"
"トレセン学園特別\\n名トレーナーへの道！第2弾","Tracen Academy Special Master Trainer's Road! #2"
"温泉旅行券当選確率UP","Hot Spring Ticket Rate up"
"TP消費 1/2","Half TP Consumption"
"「WINで確定」確率UP","\"Guaranteed win rewards\" rate up"
"GⅠ記念ミッション\\nフェブラリーステークス","Commemorative G1 February Stakes"
"1st Anniversary記念ミッション\\n第1弾","1st Anniversary Missions #1"
"1st Anniversary記念ミッション\\n第2弾","1st Anniversary Missions #2"
"1st Anniversary記念ミッション\\n第3弾","1st Anniversary Missions #3"
"トレセン学園特別\\n名トレーナーへの道！第3弾","Tracen Academy Special Master Trainer's Road! #3"
"春のGⅠ記念ミッション 第1弾\\n高松宮記念","Spring G1 Missions #1 Takamatsunomiya Kinen"
"春のGⅠ記念ミッション 第1弾\\n大阪杯","Spring G1 Missions #1 Osaka Hai"
"春のGⅠ記念ミッション 第1弾\\n桜花賞","Spring G1 Missions #1 Oka Sho"
"春のGⅠ記念ミッション 第1弾\\n皐月賞","Spring G1 Missions #1 Satsuki Sho"
"春のGⅠ記念ミッション 第2弾\\n天皇賞（春）","Spring G1 Missions #2 Tenno Sho"
"春のGⅠ記念ミッション 第2弾\\nNHKマイルC","Spring G1 Missions #2 NHK Mile C"
"春のGⅠ記念ミッション 第2弾\\nヴィクトリアマイル","Spring G1 Missions #2 Victoria Mile"
"春のGⅠ記念ミッション 第2弾\\nオークス","Spring G1 Missions #2 Oaks"
"春のGⅠ記念ミッション 第2弾\\n日本ダービー","Spring G1 Missions #2 Japan Derby"
"GⅠ記念ミッション\\n帝王賞","Commemorative G1 Teio Sho"
"GⅠ記念ミッション\\nジャパンダートダービー","Commemorative G1 Japan Dirt Derby"
"無料コンティニュー回数UP","Free Retries UP"
"秋のGⅠ記念ミッション 第1弾\\nマイルCS南部杯","Fall G1 Missions #1 Mile CS Nambu Hai"
"秋のGⅠ記念ミッション 第1弾\\n秋華賞","Fall G1 Missions #1 Shuuka Sho"
"秋のGⅠ記念ミッション 第1弾\\n菊花賞","Fall G1 Missions #1 Kikka Sho"
"秋のGⅠ記念ミッション 第2弾\\nJBC2022","Fall G1 Missions #2 JBC2022"
"秋のGⅠ記念ミッション 第2弾\\nエリザベス女王杯","Fall G1 Missions #2 Queen Elizabeth Cup"
"秋のGⅠ記念ミッション 第2弾\\nマイルCS","Fall G1 Missions #2 Mile CS"
"秋のGⅠ記念ミッション 第2弾\\nジャパンカップ","Fall G1 Missions #2 Japan Cup"
"秋のGⅠ記念ミッション 第2弾\\nチャンピオンズC","Fall G1 Missions #2 Champions C"
"秋のGⅠ記念ミッション 第3弾\\n阪神JF","Fall G1 Missions #3 Hanshin JF"
"秋のGⅠ記念ミッション 第3弾\\n全日本ジュニア優駿","Fall G1 Missions #3 Zen-Nippon Junior Yushun"
"秋のGⅠ記念ミッション 第3弾\\n東京大賞典","Fall G1 Missions #3 Tokyo Daishoten"
"1.5th Anniversary\\n記念ミッション 第1弾","1.5th Anniversary Missions Part 1"
"1.5th Anniversary\\n記念ミッション 第2弾","1.5th Anniversary Missions Part 2"
"トレセン学園特別\\n名トレーナーへの道！第4弾","Tracen Academy Special Master Trainer's Road! #4"
"ウマさんぽキャンペーン","Uma Stroll campaign"
"育成報酬3倍キャンペーン","Training rewards x3 campaign"
"【正月特別版】報酬獲得量UP","[New Years] Increased rewards"
"親愛度獲得量UP","Affection gain up"
"GⅠ記念ミッション\\n川崎記念","G1 Missions Kawasaki Kinen"
"GⅠ記念ミッション\\nフェブラリーS","G1 Missions February S"
"継承ウマ娘レンタル消費マニー1/2","Half price rentals"
"2nd Anniversary\\n記念ミッション 第1弾","2nd Anniversary Missions Part 1"
"2nd Anniversary\\n記念ミッション 第2弾","2nd Anniversary Missions Part 2"
"2nd Anniversary\\n記念ミッション 第3弾","2nd Anniversary Missions Part 3"
